* This is the BiomeMobWeight report file that is output every time the server starts.
* 
* Spawn Balance Utility (SBU) will use this file ONLY if it is renamed to BiomeMobWeight.csv.
* Lines starting with '*' are comments and ignored
* When this file is read, SBU writes summary information to the log file.
* 
1, desert, sgjourney:abydos_desert, MONSTER, alexsmobs:farseer, 50, 1, 1
24, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:mother_spider, 10, 1, 1
25, desert, sgjourney:abydos_desert, MONSTER, mowziesmobs:grottol, 25, 1, 1
26, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:mr_pumpkin, 10, 1, 3
27, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:mrs_pumpkin, 10, 1, 1
28, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
29, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:phantom_creeper, 10, 1, 1
30, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:pumpkin_bruiser, 10, 1, 1
31, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:restless_spirit, 10, 1, 1
32, desert, sgjourney:abydos_desert, MONSTER, ancient_elements:scamp, 35, 1, 1
33, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:senor_pumpkin, 15, 1, 2
34, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:siamese_skeletons, 10, 1, 1
35, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 10, 1, 1
36, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:skeleton_demoman, 10, 1, 1
37, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:skeleton_thrasher, 10, 1, 1
38, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
39, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:spirit_guide, 10, 1, 1
40, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:spiritof_chaos, 10, 1, 1
41, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:supreme_bonescaller, 10, 1, 1
42, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:swarmer, 10, 1, 1
43, desert, sgjourney:abydos_desert, MONSTER, terramity:uvogre, 10, 1, 1
44, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:zombie_bruiser, 10, 1, 1
45, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:zombie_clown, 10, 1, 1
46, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:zombie_fisherman, 10, 1, 1
47, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:zombie_lumberjack, 10, 1, 1
48, desert, sgjourney:abydos_desert, CREATURE, born_in_chaos_v1:thornshell_crab, 10, 1, 1
49, desert, sgjourney:abydos_desert, AMBIENT, terramity:blue_fairy, 50, 1, 2
50, desert, sgjourney:abydos_desert, AMBIENT, terramity:cave_gnome, 10, 1, 3
51, desert, sgjourney:abydos_desert, AMBIENT, terramity:green_fairy, 50, 2, 3
52, desert, sgjourney:abydos_desert, AMBIENT, terramity:pink_fairy, 50, 1, 2
53, desert, sgjourney:abydos_desert, WATER_CREATURE, born_in_chaos_v1:corpse_fish, 10, 3, 5
54, desert, sgjourney:abydos_desert, WATER_CREATURE, born_in_chaos_v1:glutton_fish, 10, 1, 1
55, none, sgjourney:abydos_oasis, MONSTER, minecraft:spider, 60, 4, 4
56, none, sgjourney:abydos_oasis, MONSTER, minecraft:zombie, 60, 4, 4
57, none, sgjourney:abydos_oasis, MONSTER, minecraft:zombie_villager, 50, 1, 1
58, none, sgjourney:abydos_oasis, MONSTER, minecraft:skeleton, 60, 4, 4
59, none, sgjourney:abydos_oasis, MONSTER, minecraft:creeper, 60, 4, 4
60, none, sgjourney:abydos_oasis, MONSTER, minecraft:slime, 60, 4, 4
61, none, sgjourney:abydos_oasis, MONSTER, minecraft:enderman, 40, 1, 4
62, none, sgjourney:abydos_oasis, MONSTER, minecraft:witch, 30, 1, 1
63, none, sgjourney:abydos_oasis, MONSTER, alexsmobs:farseer, 50, 1, 1
64, none, sgjourney:abydos_oasis, MONSTER, born_in_chaos_v1:baby_skeleton, 50, 1, 2
65, none, sgjourney:abydos_oasis, MONSTER, born_in_chaos_v1:baby_spider, 50, 3, 5
66, none, sgjourney:abydos_oasis, MONSTER, born_in_chaos_v1:barrel_zombie, 50, 1, 1
67, none, sgjourney:abydos_oasis, MONSTER, quark:stoneling, 10, 1, 1
68, none, sgjourney:abydos_oasis, MONSTER, quark:toretoise, 10, 2, 4
69, none, sgjourney:abydos_oasis, MONSTER, born_in_chaos_v1:bloody_gadfly, 10, 1, 1
70, none, sgjourney:abydos_oasis, MONSTER, born_in_chaos_v1:bonescaller, 10, 1, 1
71, none, sgjourney:abydos_oasis, MONSTER, ancient_elements:boulder, 50, 1, 1
72, none, sgjourney:abydos_oasis, MONSTER, born_in_chaos_v1:corpse_fly, 10, 1, 3
73, none, sgjourney:abydos_oasis, MONSTER, born_in_chaos_v1:dark_vortex, 10, 1, 1
74, none, sgjourney:abydos_oasis, MONSTER, born_in_chaos_v1:decaying_zombie, 10, 1, 1
75, none, sgjourney:abydos_oasis, MONSTER, born_in_chaos_v1:decrepit_skeleton, 10, 1, 1
76, none, sgjourney:abydos_oasis, MONSTER, ancient_elements:dig, 50, 2, 2
77, none, sgjourney:abydos_oasis, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
78, none, sgjourney:abydos_oasis, MONSTER, born_in_chaos_v1:door_knight, 10, 1, 1
79, none, sgjourney:abydos_oasis, MONSTER, born_in_chaos_v1:dread_hound, 10, 3, 5
80, none, sgjourney:abydos_oasis, MONSTER, ancient_elements:drimble, 10, 1, 1
81, none, sgjourney:abydos_oasis, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
82, none, sgjourney:abydos_oasis, MONSTER, born_in_chaos_v1:krampus, 10, 1, 1
83, none, sgjourney:abydos_oasis, MONSTER, born_in_chaos_v1:krampus_henchman, 10, 2, 3
84, none, sgjourney:abydos_oasis, MONSTER, born_in_chaos_v1:lifestealer, 10, 1, 1
85, none, sgjourney:abydos_oasis, MONSTER, born_in_chaos_v1:missioner, 10, 1, 1
86, none, sgjourney:abydos_oasis, MONSTER, born_in_chaos_v1:mother_spider, 10, 1, 1
87, none, sgjourney:abydos_oasis, MONSTER, mowziesmobs:grottol, 25, 1, 1
88, none, sgjourney:abydos_oasis, MONSTER, born_in_chaos_v1:mr_pumpkin, 10, 1, 3
89, none, sgjourney:abydos_oasis, MONSTER, born_in_chaos_v1:mrs_pumpkin, 10, 1, 1
90, none, sgjourney:abydos_oasis, MONSTER, mutantmonsters:mutant_creeper, 10, 1, 1
91, none, sgjourney:abydos_oasis, MONSTER, mutantmonsters:mutant_enderman, 10, 1, 1
92, none, sgjourney:abydos_oasis, MONSTER, mutantmonsters:mutant_skeleton, 10, 1, 1
93, none, sgjourney:abydos_oasis, MONSTER, mutantmonsters:mutant_zombie, 10, 1, 1
94, none, sgjourney:abydos_oasis, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
95, none, sgjourney:abydos_oasis, MONSTER, born_in_chaos_v1:phantom_creeper, 10, 1, 1
96, none, sgjourney:abydos_oasis, MONSTER, born_in_chaos_v1:pumpkin_bruiser, 10, 1, 1
97, none, sgjourney:abydos_oasis, MONSTER, born_in_chaos_v1:restless_spirit, 10, 1, 1
98, none, sgjourney:abydos_oasis, MONSTER, ancient_elements:scamp, 35, 1, 1
99, none, sgjourney:abydos_oasis, MONSTER, born_in_chaos_v1:senor_pumpkin, 15, 1, 2
100, none, sgjourney:abydos_oasis, MONSTER, born_in_chaos_v1:siamese_skeletons, 10, 1, 1
101, none, sgjourney:abydos_oasis, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 10, 1, 1
102, none, sgjourney:abydos_oasis, MONSTER, born_in_chaos_v1:skeleton_demoman, 10, 1, 1
103, none, sgjourney:abydos_oasis, MONSTER, born_in_chaos_v1:skeleton_thrasher, 10, 1, 1
104, none, sgjourney:abydos_oasis, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
105, none, sgjourney:abydos_oasis, MONSTER, born_in_chaos_v1:spirit_guide, 10, 1, 1
106, none, sgjourney:abydos_oasis, MONSTER, born_in_chaos_v1:spiritof_chaos, 10, 1, 1
107, none, sgjourney:abydos_oasis, MONSTER, born_in_chaos_v1:supreme_bonescaller, 10, 1, 1
108, none, sgjourney:abydos_oasis, MONSTER, born_in_chaos_v1:swarmer, 10, 1, 1
109, none, sgjourney:abydos_oasis, MONSTER, terramity:uvogre, 10, 1, 1
110, none, sgjourney:abydos_oasis, MONSTER, born_in_chaos_v1:zombie_bruiser, 10, 1, 1
111, none, sgjourney:abydos_oasis, MONSTER, born_in_chaos_v1:zombie_clown, 10, 1, 1
112, none, sgjourney:abydos_oasis, MONSTER, born_in_chaos_v1:zombie_fisherman, 10, 1, 1
113, none, sgjourney:abydos_oasis, MONSTER, born_in_chaos_v1:zombie_lumberjack, 10, 1, 1
114, none, sgjourney:abydos_oasis, CREATURE, minecraft:sheep, 50, 4, 4
115, none, sgjourney:abydos_oasis, CREATURE, minecraft:pig, 50, 4, 4
116, none, sgjourney:abydos_oasis, CREATURE, minecraft:chicken, 50, 4, 4
117, none, sgjourney:abydos_oasis, CREATURE, minecraft:cow, 50, 4, 4
118, none, sgjourney:abydos_oasis, CREATURE, minecraft:horse, 50, 2, 6
119, none, sgjourney:abydos_oasis, CREATURE, minecraft:donkey, 50, 1, 3
120, none, sgjourney:abydos_oasis, CREATURE, born_in_chaos_v1:thornshell_crab, 10, 1, 1
121, none, sgjourney:abydos_oasis, AMBIENT, minecraft:bat, 50, 8, 8
122, none, sgjourney:abydos_oasis, AMBIENT, terramity:blue_fairy, 50, 1, 2
123, none, sgjourney:abydos_oasis, AMBIENT, terramity:cave_gnome, 10, 1, 3
124, none, sgjourney:abydos_oasis, AMBIENT, terramity:green_fairy, 50, 2, 3
125, none, sgjourney:abydos_oasis, AMBIENT, terramity:pink_fairy, 50, 1, 2
126, none, sgjourney:abydos_oasis, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 50, 4, 6
127, none, sgjourney:abydos_oasis, WATER_CREATURE, born_in_chaos_v1:corpse_fish, 10, 3, 5
128, none, sgjourney:abydos_oasis, WATER_CREATURE, born_in_chaos_v1:glutton_fish, 10, 1, 1
129, none, sgjourney:abydos_spires, MONSTER, alexsmobs:farseer, 50, 1, 1
130, none, sgjourney:abydos_spires, MONSTER, born_in_chaos_v1:baby_skeleton, 50, 1, 2
131, none, sgjourney:abydos_spires, MONSTER, born_in_chaos_v1:baby_spider, 50, 3, 5
132, none, sgjourney:abydos_spires, MONSTER, born_in_chaos_v1:barrel_zombie, 50, 1, 1
133, none, sgjourney:abydos_spires, MONSTER, quark:stoneling, 10, 1, 1
134, none, sgjourney:abydos_spires, MONSTER, quark:toretoise, 10, 2, 4
135, none, sgjourney:abydos_spires, MONSTER, born_in_chaos_v1:bloody_gadfly, 10, 1, 1
136, none, sgjourney:abydos_spires, MONSTER, born_in_chaos_v1:bonescaller, 10, 1, 1
137, none, sgjourney:abydos_spires, MONSTER, ancient_elements:boulder, 50, 1, 1
138, none, sgjourney:abydos_spires, MONSTER, born_in_chaos_v1:corpse_fly, 10, 1, 3
139, none, sgjourney:abydos_spires, MONSTER, born_in_chaos_v1:dark_vortex, 10, 1, 1
140, none, sgjourney:abydos_spires, MONSTER, born_in_chaos_v1:decaying_zombie, 10, 1, 1
141, none, sgjourney:abydos_spires, MONSTER, born_in_chaos_v1:decrepit_skeleton, 10, 1, 1
142, none, sgjourney:abydos_spires, MONSTER, ancient_elements:dig, 50, 2, 2
143, none, sgjourney:abydos_spires, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
144, none, sgjourney:abydos_spires, MONSTER, born_in_chaos_v1:door_knight, 10, 1, 1
145, none, sgjourney:abydos_spires, MONSTER, born_in_chaos_v1:dread_hound, 10, 3, 5
146, none, sgjourney:abydos_spires, MONSTER, ancient_elements:drimble, 10, 1, 1
147, none, sgjourney:abydos_spires, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
148, none, sgjourney:abydos_spires, MONSTER, born_in_chaos_v1:krampus, 10, 1, 1
149, none, sgjourney:abydos_spires, MONSTER, born_in_chaos_v1:krampus_henchman, 10, 2, 3
150, none, sgjourney:abydos_spires, MONSTER, born_in_chaos_v1:lifestealer, 10, 1, 1
151, none, sgjourney:abydos_spires, MONSTER, born_in_chaos_v1:missioner, 10, 1, 1
152, none, sgjourney:abydos_spires, MONSTER, born_in_chaos_v1:mother_spider, 10, 1, 1
153, none, sgjourney:abydos_spires, MONSTER, mowziesmobs:grottol, 25, 1, 1
154, none, sgjourney:abydos_spires, MONSTER, born_in_chaos_v1:mr_pumpkin, 10, 1, 3
155, none, sgjourney:abydos_spires, MONSTER, born_in_chaos_v1:mrs_pumpkin, 10, 1, 1
156, none, sgjourney:abydos_spires, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
157, none, sgjourney:abydos_spires, MONSTER, born_in_chaos_v1:phantom_creeper, 10, 1, 1
158, none, sgjourney:abydos_spires, MONSTER, born_in_chaos_v1:pumpkin_bruiser, 10, 1, 1
159, none, sgjourney:abydos_spires, MONSTER, born_in_chaos_v1:restless_spirit, 10, 1, 1
160, none, sgjourney:abydos_spires, MONSTER, ancient_elements:scamp, 35, 1, 1
161, none, sgjourney:abydos_spires, MONSTER, born_in_chaos_v1:senor_pumpkin, 15, 1, 2
162, none, sgjourney:abydos_spires, MONSTER, born_in_chaos_v1:siamese_skeletons, 10, 1, 1
163, none, sgjourney:abydos_spires, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 10, 1, 1
164, none, sgjourney:abydos_spires, MONSTER, born_in_chaos_v1:skeleton_demoman, 10, 1, 1
165, none, sgjourney:abydos_spires, MONSTER, born_in_chaos_v1:skeleton_thrasher, 10, 1, 1
166, none, sgjourney:abydos_spires, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
167, none, sgjourney:abydos_spires, MONSTER, born_in_chaos_v1:spirit_guide, 10, 1, 1
168, none, sgjourney:abydos_spires, MONSTER, born_in_chaos_v1:spiritof_chaos, 10, 1, 1
169, none, sgjourney:abydos_spires, MONSTER, born_in_chaos_v1:supreme_bonescaller, 10, 1, 1
170, none, sgjourney:abydos_spires, MONSTER, born_in_chaos_v1:swarmer, 10, 1, 1
171, none, sgjourney:abydos_spires, MONSTER, terramity:uvogre, 10, 1, 1
172, none, sgjourney:abydos_spires, MONSTER, born_in_chaos_v1:zombie_bruiser, 10, 1, 1
173, none, sgjourney:abydos_spires, MONSTER, born_in_chaos_v1:zombie_clown, 10, 1, 1
174, none, sgjourney:abydos_spires, MONSTER, born_in_chaos_v1:zombie_fisherman, 10, 1, 1
175, none, sgjourney:abydos_spires, MONSTER, born_in_chaos_v1:zombie_lumberjack, 10, 1, 1
176, none, sgjourney:abydos_spires, CREATURE, born_in_chaos_v1:thornshell_crab, 10, 1, 1
177, none, sgjourney:abydos_spires, AMBIENT, terramity:blue_fairy, 50, 1, 2
178, none, sgjourney:abydos_spires, AMBIENT, terramity:cave_gnome, 10, 1, 3
179, none, sgjourney:abydos_spires, AMBIENT, terramity:green_fairy, 50, 2, 3
180, none, sgjourney:abydos_spires, AMBIENT, terramity:pink_fairy, 50, 1, 2
181, none, sgjourney:abydos_spires, WATER_CREATURE, born_in_chaos_v1:corpse_fish, 10, 3, 5
182, none, sgjourney:abydos_spires, WATER_CREATURE, born_in_chaos_v1:glutton_fish, 10, 1, 1
183, ocean, alexscaves:abyssal_chasm, MONSTER, alexscaves:deep_one_mage, 50, 1, 1
184, ocean, alexscaves:abyssal_chasm, MONSTER, alexscaves:deep_one_knight, 50, 1, 1
185, ocean, alexscaves:abyssal_chasm, MONSTER, alexscaves:deep_one, 50, 1, 1
186, ocean, alexscaves:abyssal_chasm, MONSTER, minecraft:spider, 60, 4, 4
187, ocean, alexscaves:abyssal_chasm, MONSTER, minecraft:zombie, 60, 4, 4
188, ocean, alexscaves:abyssal_chasm, MONSTER, minecraft:zombie_villager, 50, 1, 1
189, ocean, alexscaves:abyssal_chasm, MONSTER, minecraft:skeleton, 60, 4, 4
190, ocean, alexscaves:abyssal_chasm, MONSTER, minecraft:creeper, 60, 4, 4
191, ocean, alexscaves:abyssal_chasm, MONSTER, minecraft:slime, 60, 4, 4
192, ocean, alexscaves:abyssal_chasm, MONSTER, minecraft:witch, 30, 1, 1
193, ocean, alexscaves:abyssal_chasm, MONSTER, minecraft:drowned, 50, 1, 1
194, ocean, alexscaves:abyssal_chasm, MONSTER, species:bewereager, 50, 1, 2
195, ocean, alexscaves:abyssal_chasm, MONSTER, species:cliff_hanger, 50, 1, 1
196, ocean, alexscaves:abyssal_chasm, MONSTER, species:ghoul, 50, 1, 1
197, ocean, alexscaves:abyssal_chasm, MONSTER, embers:ancient_golem, 20, 1, 1
198, ocean, alexscaves:abyssal_chasm, MONSTER, species:limpet, 20, 1, 1
199, ocean, alexscaves:abyssal_chasm, MONSTER, species:quake, 20, 1, 1
200, ocean, alexscaves:abyssal_chasm, MONSTER, species:wicked, 10, 1, 3
201, ocean, alexscaves:abyssal_chasm, MONSTER, alexsmobs:skelewag, 50, 2, 3
202, ocean, alexscaves:abyssal_chasm, MONSTER, alexsmobs:farseer, 50, 1, 1
203, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:baby_skeleton, 50, 1, 2
204, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:baby_spider, 50, 3, 5
205, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:barrel_zombie, 50, 1, 1
206, ocean, alexscaves:abyssal_chasm, MONSTER, quark:stoneling, 10, 1, 1
207, ocean, alexscaves:abyssal_chasm, MONSTER, quark:toretoise, 10, 2, 4
208, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:bloody_gadfly, 10, 1, 1
209, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:bonescaller, 10, 1, 1
210, ocean, alexscaves:abyssal_chasm, MONSTER, ancient_elements:boulder, 50, 1, 1
211, ocean, alexscaves:abyssal_chasm, MONSTER, cataclysm:deepling, 50, 1, 1
212, ocean, alexscaves:abyssal_chasm, MONSTER, cataclysm:deepling_angler, 50, 1, 1
213, ocean, alexscaves:abyssal_chasm, MONSTER, cataclysm:deepling_brute, 50, 1, 1
214, ocean, alexscaves:abyssal_chasm, MONSTER, cataclysm:deepling_priest, 50, 1, 1
215, ocean, alexscaves:abyssal_chasm, MONSTER, cataclysm:deepling_warlock, 50, 1, 1
216, ocean, alexscaves:abyssal_chasm, MONSTER, cataclysm:coral_golem, 50, 1, 1
217, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:corpse_fly, 10, 1, 3
218, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:dark_vortex, 10, 1, 1
219, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:decaying_zombie, 10, 1, 1
220, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:decrepit_skeleton, 10, 1, 1
221, ocean, alexscaves:abyssal_chasm, MONSTER, ancient_elements:dig, 50, 2, 2
222, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
223, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:door_knight, 10, 1, 1
224, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:dread_hound, 10, 3, 5
225, ocean, alexscaves:abyssal_chasm, MONSTER, ancient_elements:drimble, 10, 1, 1
226, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
227, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:krampus, 10, 1, 1
228, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:krampus_henchman, 10, 2, 3
229, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:lifestealer, 10, 1, 1
230, ocean, alexscaves:abyssal_chasm, MONSTER, adamsarsplus:mage, 50, 1, 2
231, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:missioner, 10, 1, 1
232, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:mother_spider, 10, 1, 1
233, ocean, alexscaves:abyssal_chasm, MONSTER, mowziesmobs:grottol, 25, 1, 1
234, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:mr_pumpkin, 10, 1, 3
235, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:mrs_pumpkin, 10, 1, 1
236, ocean, alexscaves:abyssal_chasm, MONSTER, mutantmonsters:mutant_creeper, 10, 1, 1
237, ocean, alexscaves:abyssal_chasm, MONSTER, mutantmonsters:mutant_skeleton, 10, 1, 1
238, ocean, alexscaves:abyssal_chasm, MONSTER, mutantmonsters:mutant_zombie, 10, 1, 1
239, ocean, alexscaves:abyssal_chasm, MONSTER, irons_spellbooks:necromancer, 50, 1, 1
240, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
241, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:phantom_creeper, 10, 1, 1
242, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:pumpkin_bruiser, 10, 1, 1
243, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:restless_spirit, 10, 1, 1
244, ocean, alexscaves:abyssal_chasm, MONSTER, ancient_elements:scamp, 35, 1, 1
245, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:senor_pumpkin, 15, 1, 2
246, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:siamese_skeletons, 10, 1, 1
247, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 10, 1, 1
248, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:skeleton_demoman, 10, 1, 1
249, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:skeleton_thrasher, 10, 1, 1
250, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
251, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:spirit_guide, 10, 1, 1
252, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:spiritof_chaos, 10, 1, 1
253, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:supreme_bonescaller, 10, 1, 1
254, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:swarmer, 10, 1, 1
255, ocean, alexscaves:abyssal_chasm, MONSTER, ancient_elements:undead_miner, 50, 1, 2
256, ocean, alexscaves:abyssal_chasm, MONSTER, terramity:uvogre, 10, 1, 1
257, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:zombie_bruiser, 10, 1, 1
258, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:zombie_clown, 10, 1, 1
259, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:zombie_fisherman, 10, 1, 1
260, ocean, alexscaves:abyssal_chasm, MONSTER, born_in_chaos_v1:zombie_lumberjack, 10, 1, 1
261, ocean, alexscaves:abyssal_chasm, CREATURE, forbidden_arcanus:lost_soul, 50, 1, 3
262, ocean, alexscaves:abyssal_chasm, CREATURE, ars_nouveau:drygmy, 15, 1, 2
263, ocean, alexscaves:abyssal_chasm, CREATURE, ars_nouveau:gift_starby, 50, 1, 1
264, ocean, alexscaves:abyssal_chasm, CREATURE, ars_nouveau:starbuncle, 25, 1, 2
265, ocean, alexscaves:abyssal_chasm, CREATURE, born_in_chaos_v1:thornshell_crab, 10, 1, 1
266, ocean, alexscaves:abyssal_chasm, CREATURE, ars_nouveau:whirlisprig, 15, 1, 2
267, ocean, alexscaves:abyssal_chasm, AMBIENT, alexsmobs:fly, 50, 2, 3
268, ocean, alexscaves:abyssal_chasm, AMBIENT, terramity:blue_fairy, 50, 1, 2
269, ocean, alexscaves:abyssal_chasm, AMBIENT, terramity:cave_gnome, 10, 1, 3
270, ocean, alexscaves:abyssal_chasm, AMBIENT, terramity:green_fairy, 50, 2, 3
271, ocean, alexscaves:abyssal_chasm, AMBIENT, terramity:pink_fairy, 50, 1, 2
272, ocean, alexscaves:abyssal_chasm, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 60, 4, 6
273, ocean, alexscaves:abyssal_chasm, UNDERGROUND_WATER_CREATURE, alexscaves:hullbreaker, 50, 1, 1
274, ocean, alexscaves:abyssal_chasm, UNDERGROUND_WATER_CREATURE, species:deepfish, 10, 4, 6
275, ocean, alexscaves:abyssal_chasm, WATER_CREATURE, minecraft:squid, 50, 1, 4
